Title,Link,Published
"Live No Kings protest updates: Massive crowds march, rally throughout Bay Area - ABC7 San Francisco",https://news.google.com/rss/articles/CBMirwFBVV95cUxNaG1nbDU4dDJPUFVTRVhPZ21JVDFkOTFvUDVMX2VMSUN3b2x5YzFEdXZ1VTZsZ3cwcHBpc1NRS01DbzlmS2tHSV9hcXJ2SzBXeklNNlkzZHZKWFpDMEFhblhzVGJsbnJGZ3FmYjZOQ2Z1QWU1TWdQMGhueHRSM20ycThDa2NRZkI2eEc3aUF5enRGVmFfeVA1elg0cGs3bXBRakpSMVRrYTRGWTNSTjJV?oc=5,"Sun, 19 Oct 2025 06:39:00 GMT"
Gaza ceasefire: US says Hamas is planning 'imminent' attack on civilians - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1adHgwVDJ2QU8zSWlVQkZzYnJnWk13YTRqNi1aempyTDR6WmJrdl9hRzB5X25mQzZVTnFad3EwTVdYNVM0QVFLZThaX1cxWWFZZDREdFhjNEVtd9IBX0FVX3lxTE5EXzA5RW0weTI1aVBmTGlJdDNjdWc1RDRwREVjQmw0WXE2dlVTdERsVXdUMkVMZE1xSFVjeVpGa0h5T2t3N2lGRjZ1ZV84T1pXNk1nSldfMjVmNjFwZUEw?oc=5,"Sun, 19 Oct 2025 07:42:20 GMT"
"Israeli Military Fires on Vehicle, Saying It Crossed Gaza Cease-Fire Line - The New York Times",https://news.google.com/rss/articles/CBMimwFBVV95cUxNdXJPdDJCc1dUeGJmZl9zSHo0NjNxUnZYOXdReEM0WndBelc5Skk0QVZZNTZhenNJUGhGTS1mbkdyRUQxczRLMnFyZ0VOcWR6dXRlV3hnU1l2Q3lrYzh4NHhVR2NZVnpEbVNNQ2UxWHRyMkIwU19oQlNvblU5SnE3dU1qNkZfUTFjVTE4VFcwV3FfTk5yRXpKLTFFTQ?oc=5,"Sat, 18 Oct 2025 15:48:01 GMT"
"Trump says 2 survivors of US strike on submarine being sent to Ecuador, Colombia in move that avoids legal fight - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMirwFBVV95cUxQQXFaVDV5Z2stR21wVnJJMm9wVG1LWVJSbDhUX3lscGJ6eENDaE0xekJjNGZ3MUhjdXpOUWFzbkU1RzhDV25oaFBOQmw2NGJXMk1VbjYzMjZaYUlUSkNkMHB4endaeEE3ekRoNXZScXhBSkdxckhJaGhweTJGZkhZdFRvS3RuSy03cDl0SnUxUkFmN0tYWVpqUGlaZkVMR3g2R19iY09mZFVkQmM3aGow0gG0AUFVX3lxTE56Qzg3QUlyU3BVZk1OR19RRElFanpPUVI1cUlhNUUzdE00d1RKMjZyMGkyb09mZXR2YUxCQ3ZpekVNc1d2eGJmZWZPN1MwOXZtZkcydTMzVlZMS2FWdE84MUNSb2F2TzBpaWxaUXlRcXFRQmVCanJoakdmVzdYdEQ5ZlFXYzN4YXJBQUs1RGNMZVhOWUk1SExsS3BvUTJHRWJfU0pvWkRFckVvWHNNOWNXQ3lUZA?oc=5,"Sat, 18 Oct 2025 21:28:22 GMT"
Newsom closes highway section amid feud with White House over Marine exercise - The Washington Post,https://news.google.com/rss/articles/CBMikAFBVV95cUxNRDVKdU9Wb1l4ZGlkTlkyanpON0VBZXpjNjFzY2VnV0MtWklSTFpWNzZFTkRtZGd6UU9vLUZKNG5OSXNjNm5YVDVOTnNvbERQcUNtTjNmVHJqSEhIcHNxRVNtQTdiT3hZQjhKWVZuZlVYNTNHZE5EYkdxTXJhRWVzOWVhZm0yd0tZR3Z4SVFZa1o?oc=5,"Sun, 19 Oct 2025 03:25:56 GMT"
How George Santos Won His Freedom - The New York Times,https://news.google.com/rss/articles/CBMigAFBVV95cUxNNGQ4ZE1VaGFfbWxQTncyOTRob29DRExuRmJycDJpZGN2cERhdURhTEtjLVZsSTh6akV2LS1GRGx0aW1DNDhOczJhWDBzeWxReVJQcnN5RG55R1l0UFB2YUQzRE1Qc2lSd2Zma0paQnhHVEJGTm1fWnFCTURGakkzdg?oc=5,"Sat, 18 Oct 2025 22:53:00 GMT"
"Human remains found in shallow grave 'believed to be' missing Philadelphia woman Kada Scott: Police - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMipAFBVV95cUxOX0NZZmZLNWkxcksxTWRjRFpZUU00dkF6a1FyWjZiWS1TdjV6Zzd6bC16emMtVUVfU2FRenc0QzRwRjR6clF4c2FqdmlpdEJQZDE5aEVyNXpxY1lXMGZWNGJHOVB4V2Q3S3A0QXB4dHRWSDFmcV8tei1nczktXzVaeS1fN2E3dTJjV1pfQ01HS085NGVTNzJuQTZDRHpwZTk4YW5mSNIBqgFBVV95cUxOMUt1ZERLT3I2SFJPN3M5X1ZtTjl5S1BzZ2FlY2R2RGVIWFhlM3FWREwzd1RKRkdrLWVFWUVsRWhLQ1g4Z1pTZUtuRm9nMkZxSldqNWpXcE5fQ3FIRzF5MlIxSDBzRXh5dEplcWF2T21CV3BIRnNmOXp4TmdRMnRrTlhzM3AtVHpSR1VYV3dWZEdfQjlEc3o1aW5LQTZxdk4zWEdvZnBRVERPQQ?oc=5,"Sat, 18 Oct 2025 23:39:21 GMT"
"After Zelenskyy meeting, Trump calls on Ukraine and Russia to 'stop where they are' and end the war - NPR",https://news.google.com/rss/articles/CBMikAFBVV95cUxNaEZKNnFKR0lWa0ZNV0I4N0lYMkZkZG9yQUFYRGcySmw3VjJQOE0xZzByWnl0aDdrN1VoWWptWS1MRnV3UUlmSk9qdEtUOVozUFJKU1Z6cUdIYWdXUFlxNElIUzlvR1ZYTjFNWnJJRURleXYxUkN5RWltMUNNWVJJNGNxWVNQZXcwMjNVZnZHdm0?oc=5,"Sat, 18 Oct 2025 08:02:38 GMT"
Vermont Republican lawmaker resigns over racist and antisemitic group chat - The Guardian,https://news.google.com/rss/articles/CBMinwFBVV95cUxQcXZlZjU2X0duQW1yV1UyUWVQMXA4SWdzeTdWMmo4QVFDUWRoQlgyeDVObFZpcGw4ZHZzS1ZsT3cxOFRaZVVnZEdFX3FLSW1CajlaY2xvNWd3Zjk3UTVDY043MlVQRTNQamFfZWRuVnhiRURMWTljZkRnclhyNWZobXloTGF5aDQ3NTFfNld1MnU4c0NWTUpaTklrTmVkeVU?oc=5,"Sat, 18 Oct 2025 18:00:00 GMT"
Why recovery will be tough for Alaska’s villages flooded by an unusually powerful storm - PBS,https://news.google.com/rss/articles/CBMivwFBVV95cUxPSHpmY2FScVpoQzhhMEtFZkh6SEJfRWhRdmtCeE04LUNYS24ybmJxblh2Z0VpZ0t2aVdRVW5JVUNiWjdWbU50U2NrWVNiaDhQRlVOWFRzX3Z6b0VWZGMzaXpyVk03VzdOV05aeXZfbGRQWms4ZkpwOUR1cU5YX0p2OERXaVp0RnR1dVRsdm94N29MX1czSEwwcDNEYmtlZG1IUDU1c3ZTelBWN0FjVlVSNFRhaUF0Z203Z0pLRlJrbw?oc=5,"Sat, 18 Oct 2025 17:53:02 GMT"
"Louvre museum in Paris closed after robbery, French culture minister says - BBC",https://news.google.com/rss/articles/CBMiWkFVX3lxTE4zZWdSS1pWTzluNGtIWUVla0FXN2dyWnhkM3ZZeEV0OGNKMmlTdndOM1ZYTkNtOHoycW5HRXdTV01yVUJZcVdUaUVxU3BDRmFMRWJnb2FTMlh0QdIBX0FVX3lxTE8tUUQ2dDI4ODN1c2VSc3VJbkltTUV1N04zYzVfOTEyOW9RVzI2LTRITU1Xa1o0d0htYTRVLXY5VE5WZlIwOGUyLVFiNVF5cE1Oa21uY3MxM3pvOGxtOXBz?oc=5,"Sun, 19 Oct 2025 10:22:52 GMT"
"Border crossing to stay closed, Israel says, as US alleges Hamas ceasefire violation - Reuters",https://news.google.com/rss/articles/CBMixAFBVV95cUxOVXo0Qjg3LWhuZGdNLWNRRmhEWUtuX2paWmxsYXZjNnJlVEFPbU5ZX25vcDJjeExmQXdyWndGSDZ0TWl4ZW5UVmZoLXBwckpiWnR0clVBc2xFMnJXdzd1ZFZHMXhnbHBwblp5ZlZQNW5MMmNYcVZ6aUQzZ1BkeHFORmJ2QnlUbHlNdGNmWUNLVjBLYVVUQnh6V3BCX1liX3JDUGNIY1loQ2djSjktOTVFRkRzYmdYb3NMMktjSm1xRUk3S3lD?oc=5,"Sun, 19 Oct 2025 02:15:00 GMT"
Newspaper headlines: 'Andrew told Met to dig up dirt on Virginia' and 'Virginia's revenge' - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5PZ2xMSUVSV0NRT2tqS0txcUJrLVFmSmxSOWJMY3JENUphVzQ1SEkzQ3F6LTVwd1B6a2JIYzV0NjZKMnRhNmt3U0tDVEtodDFzbno1b1FJZVJ4UdIBX0FVX3lxTE5IWWptVmhJak1VOVFLd2ppM0ZsNU8zSXVZd1dBYVNGbzRIYU9waGJWUG96ZU5CcFFkb3FnaVl1R0NIZTdKOC1WQktfZ1pYVzRtSEY5SGpOOGVnaFo2cEh3?oc=5,"Sun, 19 Oct 2025 05:40:39 GMT"
Israel identifies bodies of 2 hostages as Gaza border crossing with Egypt remains closed - AP News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOdVBjSzN1bk1nYmEzWERpd1hkd2ktTlM0MHJvR0NlZHhlTDloQ004MTA2bnFEaGxEM3ZVQ0xlbjhLN2pKR1lTZENxUUplWVJQTDRqWWhySnVaaHV4RnoxV1JHdGdxaDExbm1BcjVfUjdqWW94cmhmODBxRHVtUU9vTjg0TEtmV0NoclI5M1AyYUVHR3plZzFyMkkyWE9tWERJUUIyaTR4WmE?oc=5,"Sun, 19 Oct 2025 10:41:00 GMT"
Here’s how Trump can hit China’s economy where it really hurts as analysts say Beijing’s rare earths gamble could backfire - Yahoo Finance,https://news.google.com/rss/articles/CBMigAFBVV95cUxOZ1lVZGp1M3ZvckxjN01XN2dpdldpNXhBTDUxSnB6S2RJd2d5bzFOeUNfbUtUelFfVDB5MmliYVNGeTdldmlOWUFsdl96MWE2dkpVNlhZbDcwN0hveEg1M2owYUh4bjlxWnVyMTNjZ2hTZmJRVkthb2p3R3RuMTlEZg?oc=5,"Sat, 18 Oct 2025 20:57:27 GMT"
"‘Disorder, fright and confusion’: looking back at the devastating Wall Street crash of 1929 - The Guardian",https://news.google.com/rss/articles/CBMikAFBVV95cUxOR0xiOEc1bFdjOE5KNjJSNUxab2tXZmVKU0JGUFVNTGZ0MzV6UExUZWtmZmZybDI2amZGNGNQWS05VG9KZ2hsRUZDSi1FcVN6aWVVSnRhSjkxMC1wNGFWdGdhamNTOWFoYnh2QlpLRnIyVWJNM3k2aHZsRV9Sa2RQUWlZTEozMnlzQkxBemNqUVc?oc=5,"Sun, 19 Oct 2025 09:02:00 GMT"
The UPS Chaos Shows Tariffs Have Finally Arrived on Our Doorsteps - businessinsider.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxQNi10QUVZRENUYXRVbmVIQmdXd2ZiYmx4WnlzbTZ6RDM5SUVHbGZISnNQaUcwS0tXNGkwLW44QmtyeER5TDE4WGdKYXRkTnRNYmpoV0hwbjVNZFFMbkwtQjBGTFVQQWVpMm1IUWNoM0NOTm85ckRpTTVtYlJtRFpOZ3BzRURXbDBoY2xmVFVyNDl3MWs1UlhydnYzbkplUWRDWUFR?oc=5,"Sat, 18 Oct 2025 09:26:00 GMT"
"Kering nears sale of beauty unit to L'Oreal, sources say - Reuters",https://news.google.com/rss/articles/CBMipgFBVV95cUxOaFczclpTcGdjVE9LeU1oZXphYTE0LTBiOWtRMkRkUlpNR2szZW1LUkkwZWlWUHgxWUlwTUlmX2VYaXRmalhqMEZ2cG9aaVV6bE9ndWVEUkJBZk9MVVp5ZkFXUkdrZkFJd0RLN1BKZ2t0UUlLOWRQd3pRcU85M2ZONUUzX1lJbEsxZVRRNTJqLTFRVmFPVzFQbTNYdk0zWGh3QjV0Wkp3?oc=5,"Sat, 18 Oct 2025 15:52:10 GMT"
Xbox Ally and Xbox Ally X future roadmap explained — what comes next? - Windows Central,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNYTB1QU41RVByNHlPRmM3S1EwMzJNeURyVldWRjVFZDNJWm5DckRIblZLT0c2Ty1BR2hjMzRxc21jbE40X3dnd2toeHgxeHdOWVlobmVKOUdCajJ4Q3pGVDZLYks3MVVDbF93cnRyczNZSnBIOUV6Slh2c1dac0pUaUpiRXUtMC1Bbms5YkpjQklMLVEzVDNlTm1sSVUyaXlNY0pNNkZqekVpTTh6eS1ScThUaV9lRDdQeUZXcGZ6R1cyU3p5a0Nkb1NlQ0hVWW5hNnVOZzBtQktiMlBsX2FtSVF4aWlzVFdSSTRvSA?oc=5,"Sat, 18 Oct 2025 17:00:00 GMT"
WhatsApp to test monthly cap for unsanswered messages - 9to5Mac,https://news.google.com/rss/articles/CBMiowFBVV95cUxPS2M1aFpVWGdRYi1oTkVEbTA5bU84elJud1ZmdVhvQTc2ZTZHc3NQeFdlalJ3bUpSN0drN2lvd19MdWhXLVRuWUJwaVo1aVRLTHhSYVFwdnZYamtMckdzX1dVODFGRmdvSWN4N3NweVhsN196V080bzNaellYZGpiNGwwc0g1VGZlcUNTV1FxOGFxX1p0eDdKQjFhR2pmQjFBTkV3?oc=5,"Fri, 17 Oct 2025 18:34:00 GMT"
What Meta Isn’t Telling You About Its $800 Ray-Ban Display Glasses - Geeky Gadgets,https://news.google.com/rss/articles/CBMickFVX3lxTFBhVGFUdTFuM2E1WE1MZExOX0phdzhua1E1VUFuSVJvRVhsQ2FjY1QtRnFjWTdjaTg0RmpMdDBvX2UxbHVQeTFwcHpqcE1faG91STUxYjI1aGdCTWhyLXhoMTNLREFHZm9iVXdNU0hfRjVmQQ?oc=5,"Sat, 18 Oct 2025 08:01:21 GMT"
"OnePlus 15 officially launches on October 27, new ‘Misty Purple’ color revealed [Gallery] - 9to5Google",https://news.google.com/rss/articles/CBMif0FVX3lxTFAzeXU3NlZqYjBqdW1xVEFBRWxLUnFmYU5US2Y1Y0NGSW5GZUtTSmZWRHd2STlmM0JFSzJIZXJqYk5aaVlUeWRjRW4xN21PTWpuNmFLZm5HNXRqdW5qTmkxVUpxMkg5TTh6ZGJpNzVmbHZVSHNlYlo4eHA3WDZVTjQ?oc=5,"Fri, 17 Oct 2025 14:35:00 GMT"
Limp Bizkit bassist Sam Rivers dies aged 48 - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5YZG1jTnRENXpzVnZpaWRzZXhUUTc2RW9DYXppeTBkbHZPbTkxQXUtZjA2c25HUVFDLUJRZVphZGhPRjNBUFRpR3hWbFJ3SFNZMnRVbG9FWEREd9IBX0FVX3lxTE9vaU9ta0g3RmxSMzVtTG9mWU5pa3l0RVp6ZldnbzIyd2R5Z245a1MxdDZ4VkpJQ0FyeE5PRDFsRWNLSlNpaWtHNkJQaU0zZXB0allkYnA0MGg5Q3F0QXJV?oc=5,"Sun, 19 Oct 2025 03:55:24 GMT"
‘Saturday Night Live’ Domingo Sketch Returns as Sabrina Carpenter Addresses ‘Man’s Best Friend’ Album Cover Art Controversy - The Hollywood Reporter,https://news.google.com/rss/articles/CBMipAFBVV95cUxOZEJzY29TVzhmVzRuaDhJZ3Q1OGNuQnpOVUhlT3RyeWRRUDhjeFF5TExJU2pmV0pXd1FHdDJYRURORG9QUkpyQzRlUnFyY01tcVlXeEx0OGhJRG5EdHpaR0NZbjhIMlF5ZnpmMmdJM29ENTJOQm5lZFBxSVlaTWUxZFFjTURVZEN2ZG1iQTVFMEtRczItUHVJYVRlc3FDY01SRjlvbA?oc=5,"Sun, 19 Oct 2025 04:30:00 GMT"
"Horoscope for Sunday, October 19, 2025 - Chicago Sun-Times",https://news.google.com/rss/articles/CBMilAFBVV95cUxObG9JUGs2bC1mOTBjdFZmREdheE1RbmhqUjRJUHlNR1JSOGdjSkVGU0lvSjJwRDljbUFPTlJTWnNlOHhJdEpnUzVrYnpzdjM2WFdFaElvTVg2bk1tbFVwYjNPeU96TFBBTm5EWHlYNnlDN1oyRVRLblBoMFRYNHZjSS02Zm9mZWpnZU1JTWtQMmkxZFNS?oc=5,"Sun, 19 Oct 2025 05:01:00 GMT"
The Best Dressed Stars at the 2025 Academy Museum Gala - Vogue,https://news.google.com/rss/articles/CBMigAFBVV95cUxOWUkxcE1nWU1BX1VjelRTOGJfX2s0cVV3SENKbTU2S0ptUEpSclJ6NzRwUGx3Y0ZYT202T2trM21yeXk2YjljdmpLRzZLTDVuVGpBWEJQSjFFOURUYkdTaFFlUlFBS3NySlh6b1hIbi1vbEI5V0xNSUU5RWRSNUl6dA?oc=5,"Sun, 19 Oct 2025 00:54:20 GMT"
No. 5 Ole Miss vs. No. 9 Georgia: Bulldogs’ rally shakes up SEC race and more takeaways - The New York Times,https://news.google.com/rss/articles/CBMipgFBVV95cUxQYWVLVXB2N1BpSmtwNUo1eEdDek1OaHBHVW5wdjdpdE5HeGxUazRsVm8ySVpORWFPX2FwcVB5Nk92QTQ4MzlCLUZTQTRMQ1VmbmVCbnVLQ3F1ZWVmQWlmU2FUdHVrT25McW1fQ3VBVjc4dVlNeDlZN1FpOFZSMGhteUdOVXhmaDR4MnFGSnNFUUJ6QlVqVHFvUUtVX0R3U25iOU80YzFB?oc=5,"Sun, 19 Oct 2025 00:35:36 GMT"
Reinier de Ridder loses to Brendan Allen at UFC Fight Night in Canada - Al Jazeera,https://news.google.com/rss/articles/CBMiswFBVV95cUxQVjU4OUpxQ244YnVRU1NmT0VNSE1PYlFaXzU4NEUwS2tfYUUtbWlRMThoWG83STVfYUlSTjMtb0Z0Nm0yTmlEbVNERTJoS0F4R2ZUM0w2QTNFU2FhYzk2UExybC1fcTR5b0tqWlJXV3g1WXNrT21SUUhzUThqTUctRjJjMFFBY2xJR0pxamZYTDh6RlMzdzN1RG9ZQjZmMXVwb2VWUG9Rekp0NmhGc1JGSHRHRdIBuAFBVV95cUxOQzFjWHI5ZkV0MUt0UTZWTS1iTWFpOFQxV1hkTjFMazhvRXhtSENTaWkyc2xSNU16UGlMWHkwczllc0pLZlJMazlMclZ4TEhDT1JETkpyRzduMjF3WU9SNDhKTDM4dmxrOW0zcktKZS1zRUNlU01SQWhIamw2VTFpeTlPMlBaNVVxdWhrWXFMRjZ2QTdtRmVGanlWQU5xQ2lqRWtHcjJpTEhQem1hTmlQRlh6Umtlcm8x?oc=5,"Sun, 19 Oct 2025 06:17:12 GMT"
Shohei Ohtani’s incredible NLCS Game 4 atop iconic MLB playoff list - New York Post,https://news.google.com/rss/articles/CBMipwFBVV95cUxQRm5WZ0Y3WWNRdVpYZzcyM3RIR184Unp6SkJVLW5CS25hNzRvYjY2NUVEcTluUElCZkx3N1hFVXJWTElmRklzV21LYTRrdzk5Y3V1MDRNMXV2UG5sVmJBdEFpeTBfMWtqQ2ZiRVJJN2hHYlp2NzUxS2VXTUFlbFJFaURLd1Z6dlZqSktjM1pnU1V2YUpGOHZUUnpkZ0xqcGd0dHBKaFVSOA?oc=5,"Sat, 18 Oct 2025 23:10:00 GMT"
"NFL Week 7 Picks, Predictions: Expert Best Bets for Sunday Slate - Action Network",https://news.google.com/rss/articles/CBMinAFBVV95cUxNQmRjeFluV2c0dHNzdHhYNzlHZWpZaGxiY1E3UTVoZHdGb3VfMzh4MnRVNEFPR3hhaG5aTHV2Q0Q4eE9SamlrRzU0NG9nSFdHVVZPMXNSQ2FWLV9rX0ZzaDE0T2F1d0tNT3BCSjFndFIyUkx5S1RCdTctS1Vvc2Vfd2NaQjFuUVhYcjRjNnA1Vm8xUDVpZWd2WWsxVnE?oc=5,"Sat, 18 Oct 2025 23:06:00 GMT"
How we sharpened the James Webb telescope's vision from a million kilometers away - Phys.org,https://news.google.com/rss/articles/CBMifEFVX3lxTE4tTm5oR05rdnFIZ0hZa09Md1Rnd3RXdTdTZ0oxYUloM1NvRWJlTGVMZ1RXTVRvZ19PYUtBc3I2Y1FuMm83U3BzZ2RHMXd2S0pGOEM4d0ZjZlVDbFJ5NkJUSEtjNzVuRHZZUGpJVzhVNjlpbTVJVTh2MEx6alI?oc=5,"Sat, 18 Oct 2025 16:20:01 GMT"
"Watch SpaceX launch its 10,000th Starlink satellite to orbit today on rocket's record-breaking 31st flight - Space",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPNHlvTlpUYjFqbk1mZHhONk9LaEplMHVwSGY1MV9kMVA2OC1wM0JWRVMxX1NpNWVfM01aNktuZmtfMURjWkhidl93UnZ6VzRwR0FocEJSZWdpOGZzVW5MT2Q3MlZuRXliYmhRaHkyUXR6SGhVX1VodDgyWTNUaW9KT0QxMjVzTF8wTDlScnF2RW5wNEVpSkhKckdaSy1iS010c3RabVZRSDVtYkpZT3VsQWk0d3pvY1BJMnNQSVQwUlQ?oc=5,"Sun, 19 Oct 2025 04:01:00 GMT"
"See Comet Lemmon as it nears Earth, brightens to naked eye visibility - KATU",https://news.google.com/rss/articles/CBMirgFBVV95cUxQSTJlYlVWTVl1Y1lpYk1oeU0yTGRYZkU2dFFQb3FEWl9NODhWOUdHRl9EcUt5ZGpJTUFyeEFoYmlfMnlxdVVfY1NqNmwtWWszNmJjZTVBQk11UkVRR2xtNE1wa2Jta3RXS1dxWG1WU3JzWFB3d2tiQUxWeVJ2emZpNk8ydEZSY0RZN3E5cXFuMmJrVHltTDl5Nl9mSFdEMlVZRERJZ1JiZDhPcW5Kb2c?oc=5,"Sat, 18 Oct 2025 03:27:31 GMT"
Starship V3: The World’s Largest Rocket Is About to Get Even Bigger - Gizmodo,https://news.google.com/rss/articles/CBMinAFBVV95cUxNaDgzVk4xOUgwOVZkSm40UlVVY2VxamlKczRiTGw0WUNDU2dhOTEtMUpHX0hGUjBSUzc0YW9NLUJpWHc2VWtHR3BJWVJUZEJhalE2eWRnUEhGdm1EQnFfajNqTV85dnMtclMybVBrU0lyeXJXWW1yUkpRNUQwZllVU2JlN3lBcVI3aURvWTZPdjhqY1ZBeUJZbEd1YTU?oc=5,"Sat, 18 Oct 2025 10:00:28 GMT"
Breakthrough cancer therapy stops tumor growth without harming healthy cells - Science Daily,https://news.google.com/rss/articles/CBMib0FVX3lxTE5PT2Q2NzRUQi1yNjVsbEtWMFN3eFFOeTdzZjN1R3FjSGhkNXBxbFRUYTM1RUFwVHRXVENZM3lBcGtIS1kwdUw2MUdrOEdHN2dGQ0UzQXA1RndfR1pMMVVEUUlBWkNDd0pNRDdYYmtVUQ?oc=5,"Sun, 19 Oct 2025 05:53:03 GMT"
Three cases of mpox tied to severe illness worry health experts - The Seattle Times,https://news.google.com/rss/articles/CBMiswFBVV95cUxNSzU0TXdHdUtpNWtSQnUtS1l3V3Q0N3ptNHl0SWxkZmY2RkxQbnNFY2xSeGFrbUxONUdhNXh0bENQRTRXLWJMWEQ3UVpWc2VpTnFRVDZNNzNfdFl5OVh3TTRfM0tEUEZXczZKNXJ6T0JlSFlUVEFXSHpia1lwMk5SWWJ1emg2WVJGd2hEcnljUmZmQkEtRnc5YU5WWi1XR0RnM2RiU1VWTDE1RnZHZEJfN0kyNA?oc=5,"Sat, 18 Oct 2025 00:36:06 GMT"
Your toothbrush is bristling with bacteria - BBC,https://news.google.com/rss/articles/CBMilwFBVV95cUxNbEptRFhGRk96LUs2dlc5VGVvZHBmZ3AwTFFGbzkta2M5QjVHdkU2YW9wRk4tUTdsejJsOWxFNlRnX2RCNi1JY25yOEN0M0hTcExiSHBENjhXSVFvWXI5MExWTjN1c3haaFJMdU82c3VYYWNHblJQQnhDQmxhMDhvTml0LW00cGRYekotd0liTlpQVU05Smd3?oc=5,"Sun, 19 Oct 2025 09:00:48 GMT"
"South Carolina measles outbreak grows to 15 cases: Health officials - ABC News - Breaking News, Latest News and Videos",https://news.google.com/rss/articles/CBMinwFBVV95cUxNcnpTa3RRajdRajMwaGttd1VNRklDOGlsUDRnRXozU1N5VHJHYnI5QnNIZTd3c0NQdUdabGdidmxSVlp3ZXM0M0U3eVJHTUMzWk1xUTZLSC1ua3JCWFVRcTc1TXdDRWFXSFYwU0ZRTDVrb2VLYzhNWW5oRXRfcGU2S0VUOG53UFJHQTRHZGlyRl9QOGN2TjFJQTFHaVZ6RzjSAaQBQVVfeXFMT21IM2tKTml2WklLLWRsTnpIdF9leDZXamJjSVNVMXhQczdJdmtQZnh5RWl6elhpcWJzcnhxVDNLcTlnRDMwVjJiMFlOLTZ3WTc0a2dlaWtvTTVTOUpqNXA5Mk5VQ1ZVOUFaYkhjLVEyeVhSSEc4cEFrVU05Z3VUYm92SWhVcGxjRzM4S3hsa0xLVTBKb0kwcHZGOWZnT1hmTnplX0o?oc=5,"Fri, 17 Oct 2025 18:14:41 GMT"
